"Type","ChemID","Chemical","District","YearDisp","NumDisps","NumPpl","NHIComp"
"Dispensings","3731","Abacavir sulphate","Wairarapa",2020,"10","<6",100
"Dispensings","3731","Abacavir sulphate","Southern",2020,"6","<6",100
"Dispensings","3731","Abacavir sulphate","West Coast",2020,"9","<6",100
"Dispensings","3731","Abacavir sulphate","MidCentral",2020,"<6","<6",100
"Dispensings","3731","Abacavir sulphate","New Zealand",2020,"277","37",100
"Dispensings","3731","Abacavir sulphate","Counties Manukau",2021,"57","7",100
"Dispensings","3731","Abacavir sulphate","Canterbury",2021,"61","7",100
"Dispensings","3731","Abacavir sulphate","Auckland",2021,"79","11",100
"Dispensings","3731","Abacavir sulphate","Hawke's Bay",2021,"16","<6",100
"Dispensings","3731","Abacavir sulphate","Waikato",2021,"7","<6",100
"Dispensings","3731","Abacavir sulphate","West Coast",2021,"13","<6",100
"Dispensings","3731","Abacavir sulphate","Southern",2021,"<6","<6",100
"Dispensings","3731","Abacavir sulphate","Waitemata",2021,"17","<6",100
"Dispensings","3731","Abacavir sulphate","Lakes",2021,"<6","<6",100
"Dispensings","3731","Abacavir sulphate","Northland",2021,"<6","<6",100
"Dispensings","3731","Abacavir sulphate","MidCentral",2021,"7","<6",100
"Dispensings","3731","Abacavir sulphate","Wairarapa",2021,"14","<6",100
"Dispensings","3731","Abacavir sulphate","New Zealand",2021,"282","41",100
"Dispensings","3731","Abacavir sulphate","Auckland",2022,"84","12",100
"Dispensings","3731","Abacavir sulphate","West Coast",2022,"12","<6",100
"Dispensings","3731","Abacavir sulphate","Hawke's Bay",2022,"14","<6",100
"Dispensings","3731","Abacavir sulphate","Canterbury",2022,"70","8",100
"Dispensings","3731","Abacavir sulphate","Waitemata",2022,"19","<6",100
"Dispensings","3731","Abacavir sulphate","MidCentral",2022,"10","<6",100
"Dispensings","3731","Abacavir sulphate","Counties Manukau",2022,"52","<6",100
"Dispensings","3731","Abacavir sulphate","Waikato",2022,"8","<6",100
"Dispensings","3731","Abacavir sulphate","Lakes",2022,"13","<6",100
