"Type","TG2ID","TherapeuticGrp2","District","YearDisp","NumDisps","NumPpl","NHIComp"
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Wairarapa",2020,"29591","7588",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hutt Valley",2020,"75011","19480",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Northland",2020,"111355","29034",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hawke's Bay",2020,"90794","23729",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Canterbury",2020,"250220","64995",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Capital & Coast",2020,"127850","33218",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Auckland",2020,"198083","53274",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Counties Manukau",2020,"284146","76207",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Southern",2020,"185646","46980",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waikato",2020,"217987","56010",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","MidCentral",2020,"105313","26628",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waitemata",2020,"275547","72680",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Bay of Plenty",2020,"128495","33571",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Tairawhiti",2020,"26758","7168",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Taranaki",2020,"65718","16981",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Nelson Marlborough",2020,"84260","21786",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Whanganui",2020,"38987","10120",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","South Canterbury",2020,"37977","9809",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","West Coast",2020,"20671","5287",100
